tanggal,curah_hujan_mm,durasi_hujan_jam,status_banjir
2021-06-06,7.0,10.0,0
2021-06-07,16.5,18.0,0
2021-06-08,3.7,4.0,0
2021-06-09,7.2,13.0,0
2021-06-10,21.7,14.0,0
2021-06-11,6.1,9.0,0
2021-06-12,27.4,16.0,0
2021-06-13,12.0,12.0,0
2021-06-14,1.8,8.0,0
2021-06-15,5.3,9.0,0
2021-06-16,0.4,2.0,0
2021-06-17,0.8,4.0,0
2021-06-18,8.2,15.0,0
2021-06-19,6.4,9.0,0
2021-06-20,1.8,3.0,0
2021-06-21,7.0,6.0,0
2021-06-22,4.5,5.0,0
2021-06-23,7.7,7.0,0
2021-06-24,14.9,12.0,0
2021-06-25,15.6,17.0,0
2021-06-26,3.5,6.0,0
2021-06-27,15.5,13.0,0
2021-06-28,11.0,12.0,0
2021-06-29,27.5,15.0,0
2021-06-30,10.5,8.0,0
2021-07-01,10.7,13.0,0
2021-07-02,9.9,16.0,0
2021-07-03,16.8,17.0,0
2021-07-04,3.4,8.0,0
2021-07-05,0.7,7.0,0
2021-07-06,3.9,8.0,0
2021-07-07,1.1,9.0,0
2021-07-08,35.2,17.0,0
2021-07-09,10.4,16.0,0
2021-07-10,2.3,3.0,0
2021-07-11,8.7,10.0,0
2021-07-12,24.9,14.0,0
2021-07-13,9.8,7.0,0
2021-07-14,30.7,22.0,0
2021-07-15,7.3,18.0,0
2021-07-16,14.1,17.0,0
2021-07-17,3.8,8.0,0
2021-07-18,9.4,9.0,0
2021-07-19,0.0,0.0,0
2021-07-20,3.2,7.0,0
2021-07-21,25.8,15.0,0
2021-07-22,0.6,6.0,0
2021-07-23,0.0,0.0,0
2021-07-24,6.2,5.0,0
2021-07-25,1.5,6.0,0
2021-07-26,0.0,0.0,0
2021-07-27,0.0,0.0,0
2021-07-28,3.2,5.0,0
2021-07-29,7.7,8.0,0
2021-07-30,2.4,6.0,0
2021-07-31,17.8,10.0,0
2021-08-01,10.1,8.0,0
2021-08-02,9.3,9.0,0
2021-08-03,7.0,9.0,0
2021-08-04,3.7,9.0,0
2021-08-05,10.3,15.0,0
2021-08-06,4.3,4.0,0
2021-08-07,11.3,7.0,0
2021-08-08,13.3,8.0,0
2021-08-09,1.1,6.0,0
2021-08-10,5.1,11.0,0
2021-08-11,5.8,10.0,0
2021-08-12,9.9,14.0,0
2021-08-13,51.2,21.0,0
2021-08-14,12.6,7.0,0
2021-08-15,4.8,10.0,0
2021-08-16,6.7,16.0,0
2021-08-17,9.4,20.0,0
