Waktu,Prediksi_Model,Probabilitas,Kondisi_Aktual,Curah_Hujan_Hari_Ini,Keterangan
2025-12-04 12:06:27,AMAN,0.7%,Aman,3.7,
2025-12-04 12:08:09,AMAN,0.7%,Aman,3.7,
