tanggal,curah_hujan_mm,durasi_hujan_jam,link_google,is_banjir,status_banjir,pasut_est_max,pasut_est_min,pasut_est_mean,pasut_msl_max,pasut_msl_min,pasut_msl_mean,status_siaga
2020-12-04,25.0,18.0,Cek Google: 04 Desember 2020,0.0,,3.5653808583313245,1.7709507297080649,2.571266980933465,1.053747342078763,-0.7406827865444965,0.0596334646809038,Aman
2020-12-08,27.4,16.0,Cek Google: 08 Desember 2020,0.0,,2.9766789762576504,2.1623230411847003,2.496234316665806,0.465045460005089,-0.349310475067861,-0.0153991995867555,Aman
2020-12-12,23.7,13.0,Cek Google: 12 Desember 2020,0.0,,3.5156846341454133,1.784412236171117,2.5448460266717183,1.004051117892852,-0.7272212800814444,0.0332125104191569,Aman
2020-12-17,29.3,20.0,Cek Google: 17 Desember 2020,0.0,,3.746952391150321,1.7075050111978474,2.6021495439220605,1.2353188748977595,-0.804128505054714,0.0905160276694991,Aman
2020-12-26,21.5,12.0,Cek Google: 26 Desember 2020,0.0,,3.080645010131138,1.930339504243576,2.4237178164801616,0.5690114938785764,-0.5812940120089853,-0.0879156997723997,Aman
2021-01-03,20.5,13.0,Cek Google: 03 Januari 2021,0.0,,3.521923457662727,1.8181813804417328,2.5727465381339227,1.0102899414101656,-0.6934521358108285,0.0611130218813613,Aman
2021-01-13,26.3,20.0,Cek Google: 13 Januari 2021,1.0,,3.753332570356477,1.6808964465491865,2.5548720293953866,1.2416990541039157,-0.8307370697033749,0.0432385131428252,Banjir
2021-01-21,30.7,18.0,Cek Google: 21 Januari 2021,0.0,,2.8150635616044326,1.9659443319086032,2.41223979644751,0.3034300453518712,-0.545689184343958,-0.0993937198050507,Aman
2021-02-13,24.2,17.0,Cek Google: 13 Februari 2021,0.0,,3.7351023074308753,1.623991135740142,2.6005583941090182,1.223468791178314,-0.8876423805124194,0.0889248778564568,Aman
2021-02-18,25.1,21.0,Cek Google: 18 Februari 2021,0.0,,3.0734936646823727,1.8214496043784787,2.4638065673654697,0.5618601484298114,-0.6901839118740827,-0.0478269488870917,Aman
2021-02-22,20.3,16.0,Cek Google: 22 Februari 2021,1.0,,2.6730403930897877,2.075029447668238,2.329489810096846,0.1614068768372263,-0.4366040685843235,-0.1821437061557147,Banjir
2021-03-09,21.8,20.0,Cek Google: 09 Maret 2021,1.0,,2.9386806002761654,1.8496053827117147,2.388578370126006,0.427047084023604,-0.6620281335408467,-0.1230551461265552,Banjir
2021-03-20,27.2,12.0,Cek Google: 20 Maret 2021,0.0,,3.165754402204527,1.7927330938985335,2.420119154662528,0.6541208859519658,-0.7189004223540278,-0.0915143615900331,Aman
2021-04-03,35.0,10.0,Cek Google: 03 April 2021,1.0,,3.408180101000819,1.7143504378718588,2.4875128100637283,0.8965465847482577,-0.7972830783807026,-0.0241207061888331,Banjir
2021-04-18,36.0,13.0,Cek Google: 18 April 2021,0.0,,3.322689776948008,1.800719916764271,2.4582623204711855,0.8110562606954468,-0.7109135994882907,-0.0533711957813758,Aman
2021-06-10,21.7,14.0,Cek Google: 10 Juni 2021,0.0,,3.709877536631496,1.6281184817308856,2.548548485138857,1.1982440203789348,-0.8835150345216758,0.0369149688862955,Aman
2021-06-12,27.4,16.0,Cek Google: 12 Juni 2021,0.0,,3.748712944994443,1.67893860217512,2.5750275043707105,1.2370794287418816,-0.8326949140774413,0.0633939881181491,Aman
2021-06-29,27.5,15.0,Cek Google: 29 Juni 2021,0.0,,3.5349735179664448,1.875799424151963,2.561323037451394,1.0233400017138834,-0.6358340921005983,0.0496895211988324,Aman
2021-07-08,35.2,17.0,Cek Google: 08 Juli 2021,0.0,,3.5303499509310674,1.733572911668542,2.4401560913052567,1.018716434678506,-0.7780606045840193,-0.0714774249473046,Aman
2021-07-12,24.9,14.0,Cek Google: 12 Juli 2021,0.0,,3.703672988977416,1.7524483653820724,2.573903486279086,1.1920394727248549,-0.759185150870489,0.0622699700265245,Aman
2021-07-14,30.7,22.0,Cek Google: 14 Juli 2021,0.0,,3.5559911215033595,1.868689777503762,2.58509798601218,1.044357605250798,-0.6429437387487993,0.0734644697596187,Aman
2021-07-21,25.8,15.0,Cek Google: 21 Juli 2021,0.0,,3.404792986191264,1.963826728688458,2.445046652971992,0.8931594699387024,-0.5478067875641033,-0.0665868632805692,Aman
2021-08-13,51.2,21.0,Cek Google: 13 Agustus 2021,1.0,,3.4514369422651936,1.8151190834578632,2.5936846384419217,0.9398034260126322,-0.6965144327946979,0.0820511221893602,Banjir
2021-08-19,24.1,16.0,Cek Google: 19 Agustus 2021,0.0,,3.194437791750545,1.9628981804434655,2.390291998390096,0.6828042754979835,-0.5487353358090958,-0.1213415178624655,Aman
2021-08-20,20.9,17.0,Cek Google: 20 Agustus 2021,0.0,,3.415361023843519,1.7712672909339582,2.407094621471422,0.9037275075909575,-0.7403662253186032,-0.1045388947811392,Aman
2021-08-21,22.7,19.0,Cek Google: 21 Agustus 2021,0.0,,3.52619390542589,1.649868721479612,2.45007500937715,1.0145603891733286,-0.8617647947729494,-0.0615585068754112,Aman
2021-08-24,20.6,10.0,Cek Google: 24 Agustus 2021,0.0,,3.7600672648657945,1.5491035069552177,2.61469357031164,1.248433748613233,-0.962530009297344,0.1030600540590787,Aman
2021-08-28,22.7,20.0,Cek Google: 28 Agustus 2021,0.0,,3.304413825524123,1.7096032523129998,2.5345535829940813,0.7927803092715617,-0.8020302639395616,0.0229200667415199,Aman
