feature,importance
rain_sum_imputed,0.5477131
pasut_msl_max,0.15648375
prev_flood_30d,0.099058285
rain_lag6,0.021600286
rain_intensity_max,0.013880211
rain_lag5,0.013755489
rain_cumsum_7d,0.013678268
prev_meluap_30d,0.012751226
soil_moisture_root_mean,0.012328001
soil_moisture_surface_mean,0.011990894
month_sin,0.011567657
rain_lag2,0.0108103575
tide_rain_interaction,0.010551869
month_cos,0.008446468
rain_cumsum_3d,0.008438151
rain_lag3,0.007953857
is_weekend,0.0077153714
rain_lag7,0.0076311664
rain_lag4,0.00730968
rain_lag1,0.0059508635
is_rainy_season,0.003930407
soil_saturation_index,0.0035265936
api_7day,0.0029280868
is_heavy_rain,0.0
is_high_tide,0.0
