feature,importance
rain_sum_imputed,1560
pasut_msl_max,1310
rain_intensity_max,898
rain_lag2,689
tide_rain_interaction,601
rain_lag4,489
rain_lag5,489
rain_cumsum_3d,437
prev_flood_30d,428
prev_meluap_30d,419
rain_lag1,352
rain_lag7,352
rain_lag6,309
rain_lag3,308
rain_cumsum_7d,275
soil_moisture_surface_mean,250
month_sin,225
soil_moisture_root_mean,191
api_7day,190
soil_saturation_index,83
month_cos,73
is_rainy_season,21
is_weekend,13
is_high_tide,0
is_heavy_rain,0
