feature,importance
hujan_lag6,0.11029919715237688
hujan_lag4,0.10532331987526737
rain_sum_imputed,0.10016373760610912
soil_moisture_surface_mean,0.0859389172044375
hujan_lag3,0.08257884037636079
hujan_lag7,0.07452269084565323
hujan_lag1,0.06766518529175287
api_7day,0.057755182657409664
pasut_msl_max,0.05715116173555102
hujan_lag2,0.054447595699434255
rain_rolling_3h,0.05358849716986497
rain_intensity_max,0.05241273711495814
soil_moisture_root_mean,0.05117587782281079
hujan_lag5,0.046977059448013316
