date,pasut_est_max,pasut_est_min,pasut_est_mean,pasut_msl_max,pasut_msl_min,pasut_msl_mean
2020-01-01,3.226252124586723,1.9118242293686567,2.512279143182935,0.7263660378420829,-0.5880618573759833,0.012393056438295247
2020-01-02,3.014697081230858,2.082099936781535,2.5116979436087545,0.514810994486218,-0.41778614996310504,0.011811856864114567
2020-01-03,2.8335816059736056,2.240474510000903,2.511849173424631,0.3336955192289657,-0.2594115767437368,0.011963086679990909
2020-01-04,2.7714464965744634,2.304302604721526,2.5131331207723333,0.27156040982982343,-0.19558348202311393,0.013247034027693338
2020-01-05,2.77130415485498,2.342477456741342,2.515363369070134,0.2714180681103402,-0.1574086300032982,0.015477282325493835
2020-01-06,2.9800804668562693,2.1470961947714056,2.517673212248227,0.4801943801116293,-0.3527898919732344,0.017787125503586854
2020-01-07,3.2112224780361873,1.9698328357742967,2.518811883204157,0.7113363912915474,-0.5300532509703433,0.018925796459516864
2020-01-08,3.424224806031861,1.833701540917666,2.5177465327758246,0.924338719287221,-0.666184545826974,0.01786044603118464
2020-01-09,3.5984122327488044,1.7096399148763508,2.514273822259231,1.0985261460041644,-0.7902461718682892,0.01438773551459116
2020-01-10,3.728972622048419,1.6591711297541825,2.509287682731631,1.2290865353037792,-0.8407149569904575,0.009401595986990863
2020-01-11,3.7963784596063426,1.5959791847065006,2.504504668111727,1.2964923728617026,-0.9039069020381394,0.004618581367087149
2020-01-12,3.8043858487667315,1.5554905199043307,2.501740108238103,1.3044997620220915,-0.9443955668403092,0.0018540214934632537
2020-01-13,3.7349588214956095,1.528128108973114,2.5020883183987612,1.2350727347509696,-0.971757977771526,0.002202231654121256
2020-01-14,3.615541490200449,1.6062974462464976,2.505429392529556,1.115655403455809,-0.8935886404981424,0.005543305784915908
2020-01-15,3.416731738321425,1.7116076061172918,2.5105153484200207,0.9168456515767849,-0.7882784806273482,0.010629261675380697
2020-01-16,3.20232494425653,1.886001860600781,2.515575532889274,0.7024388575118898,-0.6138842261438591,0.01568944614463419
2020-01-17,3.069885993920444,2.0514476971535163,2.5191078840742653,0.569999907175804,-0.4484383895911237,0.019221797329625367
2020-01-18,2.988094112741948,2.18563502221957,2.5204458793904845,0.48820802599730806,-0.3142510645250698,0.02055979264584451
2020-01-19,2.9342824972158454,2.2208044097196082,2.5198464799393805,0.4343964104712055,-0.2790816770250317,0.019960393194740522
2020-01-20,3.019769210741725,2.128015252227703,2.5181282800358624,0.5198831239970851,-0.3718708345169368,0.018242193291222453
2020-01-21,3.2360685335836767,1.9321682109361453,2.516127202199517,0.7361824468390368,-0.5677178758084946,0.016241115454877164
2020-01-22,3.4220175910934842,1.7865641722871943,2.5142951999012797,0.9221315043488443,-0.7133219144574456,0.01440911315663973
2020-01-23,3.5823449316833944,1.6648675502557118,2.5126310319003724,1.0824588449387544,-0.8350185364889282,0.012744945155732434
2020-01-24,3.671331579362439,1.629488552054319,2.5109062712485057,1.1714454926177988,-0.870397534690321,0.01102018450386577
2020-01-25,3.7133263976138267,1.6008796712118225,2.508982935001662,1.2134403108691867,-0.8990064155328175,0.00909684825702195
2020-01-26,3.6778998289635054,1.638458591483056,2.507005505887376,1.1780137422188655,-0.8614274952615839,0.00711941914273595
2020-01-27,3.620340968302993,1.6567104293229444,2.5053741382794947,1.120454881558353,-0.8431756574216955,0.005488051534854765
2020-01-28,3.4778243164680704,1.70937908041192,2.504564167585339,0.9779382297234305,-0.79050700633272,0.004678080840699206
2020-01-29,3.3475220060447572,1.7905346581173969,2.5049374064948373,0.8476359193001173,-0.7093514286272431,0.005051319750197347
2020-01-30,3.1650168040945874,1.9119990911163476,2.5066504925847686,0.6651307173499474,-0.5878869956282924,0.006764405840128607
2020-01-31,3.1255936687762635,1.9654239667793847,2.5096555840592507,0.6257075820316236,-0.5344621199652553,0.009769497314610742
2020-02-01,3.081692925699411,2.023300979026883,2.513708252440329,0.5818068389547708,-0.476585107717757,0.013822165695688948
2020-02-02,3.0168963550091332,2.0917632680176075,2.518315417518251,0.5170102682644933,-0.4081228187270325,0.018429330773610975
2020-02-03,2.947925293402938,2.179032997988924,2.5226571262505453,0.4480392066582981,-0.32085308875571616,0.02277103950590531
2020-02-04,3.008543494642872,2.179710695763205,2.525610657345091,0.508657407898232,-0.3201753909814351,0.02572457060045119
2020-02-05,3.193303819710836,2.00382395244237,2.525999162849393,0.6934177329661959,-0.49606213430227,0.02611307610475322
2020-02-06,3.379295279811508,1.8609856579875592,2.5230562391314084,0.8794091930668682,-0.6389004287570808,0.02317015238676845
2020-02-07,3.5426898390790558,1.7312724149789318,2.5169176625319007,1.0428037523344158,-0.7686136717657082,0.017031575787260778
2020-02-08,3.6303406651494075,1.635748869000941,2.508851294592579,1.1304545784047675,-0.864137217743699,0.008965207847939194
2020-02-09,3.708126779536903,1.5866021205434324,2.5010096428953754,1.208240692792263,-0.9132839662012076,0.0011235561507354497
2020-02-10,3.671188790252058,1.5472351218438654,2.495722146992624,1.171302703507418,-0.9526509649007746,-0.004163939752015899
2020-02-11,3.6332377918178613,1.5591423795482402,2.4946097756146948,1.1333517050732214,-0.9407437071963998,-0.005276311129945199
2020-02-12,3.4795117747645246,1.6055547173066955,2.4979391037410976,0.9796256880198846,-0.8943313694379444,-0.0019469830035423463
2020-02-13,3.373424067370098,1.6990328015681428,2.504540422048145,0.873537980625458,-0.8008532851764971,0.004654335303504897
2020-02-14,3.333213307865555,1.789721906181055,2.5123334067117495,0.8333272211209151,-0.710164180563585,0.012447319967109571
